"ind_id";"orgnr";"denominator";"year";"var"
"korsband_overl8";813381192;215;2015;210
"korsband_overl8";813381192;206;2016;201
"korsband_overl8";813381192;190;2017;185
"korsband_overl8";813381192;190;2018;184
"korsband_overl8";813381192;169;2019;164
"korsband_overl8";817178782;632;2015;624
"korsband_overl8";817178782;583;2016;575
"korsband_overl8";817178782;581;2017;577
"korsband_overl8";817178782;568;2018;561
"korsband_overl8";817178782;535;2019;528
"korsband_overl8";874632562;168;2015;167
"korsband_overl8";874632562;167;2016;166
"korsband_overl8";874632562;164;2017;163
"korsband_overl8";874632562;163;2018;162
"korsband_overl8";874632562;166;2019;165
"korsband_overl8";874743372;89;2015;86
"korsband_overl8";874743372;82;2016;79
"korsband_overl8";874743372;70;2017;68
"korsband_overl8";874743372;56;2018;56
"korsband_overl8";879595762;549;2015;515
"korsband_overl8";879595762;577;2016;541
"korsband_overl8";879595762;604;2017;566
"korsband_overl8";879595762;642;2018;601
"korsband_overl8";879595762;665;2019;622
"korsband_overl8";972149519;1099;2015;1006
"korsband_overl8";972149519;1273;2016;1164
"korsband_overl8";972149519;1429;2017;1308
"korsband_overl8";972149519;1607;2018;1478
"korsband_overl8";972149519;1759;2019;1617
"korsband_overl8";973129856;792;2015;746
"korsband_overl8";973129856;763;2016;718
"korsband_overl8";973129856;727;2017;684
"korsband_overl8";973129856;583;2018;549
"korsband_overl8";973129856;446;2019;423
"korsband_overl8";974116588;789;2015;699
"korsband_overl8";974116588;821;2016;726
"korsband_overl8";974116588;822;2017;726
"korsband_overl8";974116588;848;2018;747
"korsband_overl8";974116588;839;2019;737
"korsband_overl8";974116804;74;2015;72
"korsband_overl8";974207532;401;2015;386
"korsband_overl8";974207532;453;2016;432
"korsband_overl8";974207532;484;2017;460
"korsband_overl8";974207532;517;2018;491
"korsband_overl8";974207532;568;2019;539
"korsband_overl8";974316285;1139;2015;1053
"korsband_overl8";974316285;1177;2016;1091
"korsband_overl8";974316285;1204;2017;1116
"korsband_overl8";974316285;1228;2018;1141
"korsband_overl8";974316285;1227;2019;1143
"korsband_overl8";974329506;87;2015;82
"korsband_overl8";974329506;61;2016;57
"korsband_overl8";974518821;471;2015;438
"korsband_overl8";974518821;429;2016;395
"korsband_overl8";974518821;406;2017;374
"korsband_overl8";974518821;409;2018;377
"korsband_overl8";974518821;409;2019;377
"korsband_overl8";974557746;567;2015;533
"korsband_overl8";974557746;666;2016;628
"korsband_overl8";974557746;732;2017;689
"korsband_overl8";974557746;800;2018;755
"korsband_overl8";974557746;839;2019;792
"korsband_overl8";974589095;1789;2015;1669
"korsband_overl8";974589095;1718;2016;1613
"korsband_overl8";974589095;1681;2017;1578
"korsband_overl8";974589095;1573;2018;1480
"korsband_overl8";974589095;1386;2019;1310
"korsband_overl8";974631091;326;2015;304
"korsband_overl8";974631091;306;2016;285
"korsband_overl8";974631091;275;2017;257
"korsband_overl8";974631091;248;2018;231
"korsband_overl8";974631091;216;2019;200
"korsband_overl8";974631326;310;2015;290
"korsband_overl8";974631326;327;2016;306
"korsband_overl8";974631326;332;2017;310
"korsband_overl8";974631326;351;2018;329
"korsband_overl8";974631326;361;2019;336
"korsband_overl8";974631385;87;2015;82
"korsband_overl8";974631385;77;2016;74
"korsband_overl8";974631385;75;2017;72
"korsband_overl8";974631385;72;2018;70
"korsband_overl8";974631407;89;2015;85
"korsband_overl8";974631407;86;2016;81
"korsband_overl8";974631768;300;2015;279
"korsband_overl8";974631768;302;2016;281
"korsband_overl8";974631768;305;2017;286
"korsband_overl8";974631768;308;2018;290
"korsband_overl8";974631768;311;2019;294
"korsband_overl8";974631776;100;2015;93
"korsband_overl8";974631776;88;2016;84
"korsband_overl8";974631776;86;2017;83
"korsband_overl8";974631776;78;2018;75
"korsband_overl8";974631776;83;2019;80
"korsband_overl8";974632535;272;2015;263
"korsband_overl8";974632535;280;2016;271
"korsband_overl8";974632535;283;2017;274
"korsband_overl8";974632535;258;2018;249
"korsband_overl8";974632535;239;2019;230
"korsband_overl8";974633191;197;2015;181
"korsband_overl8";974633191;168;2016;155
"korsband_overl8";974633191;144;2017;133
"korsband_overl8";974633191;112;2018;105
"korsband_overl8";974633191;84;2019;79
"korsband_overl8";974633221;137;2015;129
"korsband_overl8";974633221;163;2016;154
"korsband_overl8";974633221;193;2017;183
"korsband_overl8";974633221;219;2018;207
"korsband_overl8";974633221;244;2019;231
"korsband_overl8";974633558;278;2015;266
"korsband_overl8";974633558;309;2016;295
"korsband_overl8";974633558;347;2017;331
"korsband_overl8";974633558;388;2018;368
"korsband_overl8";974633558;428;2019;407
"korsband_overl8";974703300;515;2015;498
"korsband_overl8";974703300;533;2016;516
"korsband_overl8";974703300;548;2017;531
"korsband_overl8";974703300;586;2018;567
"korsband_overl8";974703300;633;2019;610
"korsband_overl8";974705788;406;2015;377
"korsband_overl8";974705788;395;2016;367
"korsband_overl8";974705788;397;2017;371
"korsband_overl8";974705788;379;2018;356
"korsband_overl8";974705788;371;2019;355
"korsband_overl8";974706490;628;2015;595
"korsband_overl8";974706490;651;2016;617
"korsband_overl8";974706490;689;2017;651
"korsband_overl8";974706490;732;2018;694
"korsband_overl8";974706490;755;2019;716
"korsband_overl8";974724774;345;2015;321
"korsband_overl8";974724774;329;2016;306
"korsband_overl8";974724774;313;2017;292
"korsband_overl8";974724774;289;2018;268
"korsband_overl8";974724774;296;2019;276
"korsband_overl8";974733013;247;2015;231
"korsband_overl8";974733013;268;2016;250
"korsband_overl8";974733013;292;2017;273
"korsband_overl8";974733013;293;2018;274
"korsband_overl8";974733013;300;2019;284
"korsband_overl8";974745089;120;2015;114
"korsband_overl8";974745089;133;2016;127
"korsband_overl8";974745089;161;2017;153
"korsband_overl8";974745089;176;2018;167
"korsband_overl8";974745089;184;2019;174
"korsband_overl8";974745364;109;2015;100
"korsband_overl8";974745364;81;2016;73
"korsband_overl8";974745364;63;2017;56
"korsband_overl8";974746948;211;2015;194
"korsband_overl8";974746948;235;2016;215
"korsband_overl8";974746948;237;2017;216
"korsband_overl8";974746948;234;2018;212
"korsband_overl8";974746948;240;2019;219
"korsband_overl8";974747138;311;2015;291
"korsband_overl8";974747138;291;2016;271
"korsband_overl8";974747138;270;2017;251
"korsband_overl8";974747138;247;2018;230
"korsband_overl8";974747138;229;2019;210
"korsband_overl8";974749025;717;2015;664
"korsband_overl8";974749025;731;2016;677
"korsband_overl8";974749025;740;2017;689
"korsband_overl8";974749025;748;2018;700
"korsband_overl8";974749025;785;2019;736
"korsband_overl8";974749505;210;2015;192
"korsband_overl8";974749505;197;2016;180
"korsband_overl8";974749505;203;2017;186
"korsband_overl8";974749505;211;2018;193
"korsband_overl8";974749505;222;2019;202
"korsband_overl8";974753898;109;2015;104
"korsband_overl8";974753898;93;2016;87
"korsband_overl8";974753898;94;2017;88
"korsband_overl8";974753898;83;2018;78
"korsband_overl8";974754118;132;2015;127
"korsband_overl8";974754118;116;2016;110
"korsband_overl8";974754118;88;2017;85
"korsband_overl8";974795361;271;2015;251
"korsband_overl8";974795361;248;2016;228
"korsband_overl8";974795361;217;2017;199
"korsband_overl8";974795361;202;2018;186
"korsband_overl8";974795361;203;2019;186
"korsband_overl8";974795787;350;2015;341
"korsband_overl8";974795787;327;2016;320
"korsband_overl8";974795787;309;2017;302
"korsband_overl8";974795787;299;2018;293
"korsband_overl8";974795787;277;2019;270
"korsband_overl8";974795833;131;2015;123
"korsband_overl8";974795833;139;2016;131
"korsband_overl8";974795833;149;2017;140
"korsband_overl8";974795833;141;2018;132
"korsband_overl8";974795833;132;2019;125
"korsband_overl8";975787419;389;2015;381
"korsband_overl8";975787419;479;2016;467
"korsband_overl8";975787419;532;2017;516
"korsband_overl8";975787419;558;2018;540
"korsband_overl8";975787419;551;2019;536
"korsband_overl8";817178782;236;2015;234
"korsband_overl8";817178782;258;2016;255
"korsband_overl8";817178782;291;2017;286
"korsband_overl8";817178782;323;2018;318
"korsband_overl8";817178782;318;2019;313
"korsband_overl8";983971652;59;2015;57
"korsband_overl8";983971652;54;2016;52
"korsband_overl8";993240184;134;2015;129
"korsband_overl8";993240184;174;2016;165
"korsband_overl8";993240184;216;2017;205
"korsband_overl8";993240184;240;2018;228
"korsband_overl8";993240184;243;2019;231
"korsband_overl8";999238351;853;2015;815
"korsband_overl8";999238351;829;2016;794
"korsband_overl8";999238351;772;2017;739
"korsband_overl8";999238351;620;2018;593
"korsband_overl8";999238351;508;2019;487
